Bench mbasis
nbits=30, prime=781683761
n	rdim	cdim	order	deg	time
~~~~WARMUP~~~~
NEW	31	32	32	32	0.000396

I	32	1	64	64	0.010116
II	32	1	64	64	0.017882
III	32	1	64	64	0.010670
IV	32	1	64	64	0.056318
V	32	1	64	64	0.060732
NEW	32	1	64	64	0.004675

I	1	32	64	64	0.001350
II	1	32	64	64	0.002255
III	1	32	64	64	0.000901
IV	1	32	64	64	0.001284
V	1	32	64	64	0.002127
NEW	1	32	64	64	0.000023

I	32	16	64	64	0.140172
II	32	16	64	64	0.158587
III	32	16	64	64	0.064995
IV	32	16	64	64	0.091668
V	32	16	64	64	0.190420
NEW	32	16	64	64	0.093151

I	16	32	64	64	0.019537
II	16	32	64	64	0.049431
III	16	32	64	64	0.009721
IV	16	32	64	64	0.013032
V	16	32	64	64	0.051621
NEW	16	32	64	64	0.000187

I	32	31	64	64	0.111436
II	32	31	64	64	0.224883
III	32	31	64	64	0.035276
IV	32	31	64	64	0.051192
V	32	31	64	64	0.277140
NEW	32	31	64	64	0.225389

I	31	32	64	64	0.043917
II	31	32	64	64	0.215635
III	31	32	64	64	0.022589
IV	31	32	64	64	0.033223
V	31	32	64	64	0.224947
NEW	31	32	64	64	0.000577

I	64	1	4	4	0.001495
II	64	1	4	4	0.001631
III	64	1	4	4	0.001440
IV	64	1	4	4	0.002377
V	64	1	4	4	0.002458
NEW	64	1	4	4	0.000906

I	1	64	4	4	0.000054
II	1	64	4	4	0.000032
III	1	64	4	4	0.000022
IV	1	64	4	4	0.000025
V	1	64	4	4	0.000035
NEW	1	64	4	4	0.000006

I	64	32	4	4	0.015296
II	64	32	4	4	0.011395
III	64	32	4	4	0.008536
IV	64	32	4	4	0.006736
V	64	32	4	4	0.009704
NEW	64	32	4	4	0.005827

I	32	64	4	4	0.002204
II	32	64	4	4	0.003282
III	32	64	4	4	0.001351
IV	32	64	4	4	0.001445
V	32	64	4	4	0.003198
NEW	32	64	4	4	0.000310

I	64	63	4	4	0.007556
II	64	63	4	4	0.010017
III	64	63	4	4	0.004001
IV	64	63	4	4	0.004167
V	64	63	4	4	0.010297
NEW	64	63	4	4	0.009371

I	63	64	4	4	0.005450
II	63	64	4	4	0.009378
III	63	64	4	4	0.003233
IV	63	64	4	4	0.003679
V	63	64	4	4	0.009696
NEW	63	64	4	4	0.000796

I	64	1	8	8	0.003011
II	64	1	8	8	0.003491
III	64	1	8	8	0.003170
IV	64	1	8	8	0.006741
V	64	1	8	8	0.006257
NEW	64	1	8	8	0.001724

I	1	64	8	8	0.000114
II	1	64	8	8	0.000084
III	1	64	8	8	0.000056
IV	1	64	8	8	0.000064
V	1	64	8	8	0.000096
NEW	1	64	8	8	0.000006

I	64	32	8	8	0.048592
II	64	32	8	8	0.032187
III	64	32	8	8	0.024142
IV	64	32	8	8	0.016914
V	64	32	8	8	0.026147
NEW	64	32	8	8	0.015003

I	32	64	8	8	0.004406
II	32	64	8	8	0.009445
III	32	64	8	8	0.002579
IV	32	64	8	8	0.002836
V	32	64	8	8	0.009424
NEW	32	64	8	8	0.000323

I	64	63	8	8	0.017717
II	64	63	8	8	0.030983
III	64	63	8	8	0.008504
IV	64	63	8	8	0.008409
V	64	63	8	8	0.029742
NEW	64	63	8	8	0.027658

I	63	64	8	8	0.010019
II	63	64	8	8	0.028743
III	63	64	8	8	0.006354
IV	63	64	8	8	0.006967
V	63	64	8	8	0.029730
NEW	63	64	8	8	0.000895

I	64	1	16	16	0.005979
II	64	1	16	16	0.007685
III	64	1	16	16	0.005851
IV	64	1	16	16	0.016549
V	64	1	16	16	0.019377
NEW	64	1	16	16	0.003362

I	1	64	16	16	0.000272
II	1	64	16	16	0.000268
III	1	64	16	16	0.000137
IV	1	64	16	16	0.000162
V	1	64	16	16	0.000289
NEW	1	64	16	16	0.000010

I	64	32	16	16	0.117361
II	64	32	16	16	0.137263
III	64	32	16	16	0.105240
IV	64	32	16	16	0.063303
V	64	32	16	16	0.096171
NEW	64	32	16	16	0.051424

I	32	64	16	16	0.011522
II	32	64	16	16	0.035322
III	32	64	16	16	0.006394
IV	32	64	16	16	0.006837
V	32	64	16	16	0.033229
NEW	32	64	16	16	0.000445

I	64	63	16	16	0.047833
II	64	63	16	16	0.114574
III	64	63	16	16	0.019924
IV	64	63	16	16	0.021611
V	64	63	16	16	0.111881
NEW	64	63	16	16	0.115090

I	63	64	16	16	0.025725
II	63	64	16	16	0.115673
III	63	64	16	16	0.015053
IV	63	64	16	16	0.016801
V	63	64	16	16	0.107347
NEW	63	64	16	16	0.001192

I	64	1	32	32	0.013672
II	64	1	32	32	0.020058
III	64	1	32	32	0.013338
IV	64	1	32	32	0.058245
V	64	1	32	32	0.065300
NEW	64	1	32	32	0.007377

I	1	64	32	32	0.000808
II	1	64	32	32	0.001053
III	1	64	32	32	0.000388
IV	1	64	32	32	0.000511
V	1	64	32	32	0.001027
NEW	1	64	32	32	0.000016

I	64	32	32	32	0.248862
II	64	32	32	32	0.293281
III	64	32	32	32	0.168423
IV	64	32	32	32	0.205657
V	64	32	32	32	0.333930
NEW	64	32	32	32	0.184849

I	32	64	32	32	0.030483
II	32	64	32	32	0.122522
III	32	64	32	32	0.015195
IV	32	64	32	32	0.018983
V	32	64	32	32	0.124999
NEW	32	64	32	32	0.000583

I	64	63	32	32	0.199402
II	64	63	32	32	0.470305
III	64	63	32	32	0.054545
IV	64	63	32	32	0.062245
V	64	63	32	32	0.429247
NEW	64	63	32	32	0.402718

I	63	64	32	32	0.061334
II	63	64	32	32	0.399656
III	63	64	32	32	0.037397
IV	63	64	32	32	0.043866
V	63	64	32	32	0.391995
NEW	63	64	32	32	0.001714

I	64	1	64	64	0.030296
II	64	1	64	64	0.055534
III	64	1	64	64	0.030746
IV	64	1	64	64	0.207251
V	64	1	64	64	0.227724
NEW	64	1	64	64	0.014014

I	1	64	64	64	0.002330
II	1	64	64	64	0.003479
III	1	64	64	64	0.001219
IV	1	64	64	64	0.001543
V	1	64	64	64	0.003504
NEW	1	64	64	64	0.000027

I	64	32	64	64	0.682561
II	64	32	64	64	0.926057
III	64	32	64	64	0.444956
IV	64	32	64	64	0.735752
V	64	32	64	64	1.223111
NEW	64	32	64	64	0.631279

I	32	64	64	64	0.081794
II	32	64	64	64	0.443435
III	32	64	64	64	0.040556
IV	32	64	64	64	0.051310
V	32	64	64	64	0.455058
NEW	32	64	64	64	0.000837

I	64	63	64	64	0.463802
II	64	63	64	64	1.474849
III	64	63	64	64	0.128128
IV	64	63	64	64	0.180199
V	64	63	64	64	1.519583
NEW	64	63	64	64	1.405006

I	63	64	64	64	0.178273
II	63	64	64	64	1.400871
III	63	64	64	64	0.085212
IV	63	64	64	64	0.119072
V	63	64	64	64	1.416002
NEW	63	64	64	64	0.003154

I	128	1	4	4	0.005137
II	128	1	4	4	0.005758
III	128	1	4	4	0.005085
IV	128	1	4	4	0.008710
V	128	1	4	4	0.010133
NEW	128	1	4	4	0.003484

I	1	128	4	4	0.000094
II	1	128	4	4	0.000053
III	1	128	4	4	0.000036
IV	1	128	4	4	0.000039
V	1	128	4	4	0.000055
NEW	1	128	4	4	0.000008

I	128	64	4	4	0.072767
II	128	64	4	4	0.059702
III	128	64	4	4	0.045423
IV	128	64	4	4	0.037921
V	128	64	4	4	0.053134
NEW	128	64	4	4	0.035037

I	64	128	4	4	0.009333
II	64	128	4	4	0.017877
III	64	128	4	4	0.006296
IV	64	128	4	4	0.006710
V	64	128	4	4	0.018018
NEW	64	128	4	4	0.001486

I	128	127	4	4	0.036284
II	128	127	4	4	0.063703
III	128	127	4	4	0.019307
IV	128	127	4	4	0.021769
V	128	127	4	4	0.064360
NEW	128	127	4	4	0.058611

I	127	128	4	4	0.023775
II	127	128	4	4	0.064528
III	127	128	4	4	0.016684
IV	127	128	4	4	0.020265
V	127	128	4	4	0.059634
NEW	127	128	4	4	0.003877

I	128	1	8	8	0.010758
II	128	1	8	8	0.013316
III	128	1	8	8	0.010709
IV	128	1	8	8	0.020579
V	128	1	8	8	0.021793
NEW	128	1	8	8	0.006851

I	1	128	8	8	0.000200
II	1	128	8	8	0.000145
III	1	128	8	8	0.000077
IV	1	128	8	8	0.000084
V	1	128	8	8	0.000148
NEW	1	128	8	8	0.000009

I	128	64	8	8	0.306189
II	128	64	8	8	0.199582
III	128	64	8	8	0.137280
IV	128	64	8	8	0.103636
V	128	64	8	8	0.164173
NEW	128	64	8	8	0.102679

I	64	128	8	8	0.020002
II	64	128	8	8	0.057501
III	64	128	8	8	0.012555
IV	64	128	8	8	0.013547
V	64	128	8	8	0.061628
NEW	64	128	8	8	0.001713

I	128	127	8	8	0.079769
II	128	127	8	8	0.208547
III	128	127	8	8	0.039396
IV	128	127	8	8	0.041186
V	128	127	8	8	0.208877
NEW	128	127	8	8	0.195157

I	127	128	8	8	0.048746
II	127	128	8	8	0.200046
III	127	128	8	8	0.038913
IV	127	128	8	8	0.043408
V	127	128	8	8	0.206870
NEW	127	128	8	8	0.004528

I	128	1	16	16	0.021499
II	128	1	16	16	0.028161
III	128	1	16	16	0.021023
IV	128	1	16	16	0.063528
V	128	1	16	16	0.067762
NEW	128	1	16	16	0.012859

I	1	128	16	16	0.000499
II	1	128	16	16	0.000465
III	1	128	16	16	0.000201
IV	1	128	16	16	0.000223
V	1	128	16	16	0.000471
NEW	1	128	16	16	0.000013

I	128	64	16	16	1.404500
II	128	64	16	16	0.750861
III	128	64	16	16	0.510475
IV	128	64	16	16	0.337146
V	128	64	16	16	0.572791
NEW	128	64	16	16	0.328986

I	64	128	16	16	0.046268
II	64	128	16	16	0.206307
III	64	128	16	16	0.027541
IV	64	128	16	16	0.029368
V	64	128	16	16	0.201528
NEW	64	128	16	16	0.001997

I	128	127	16	16	0.204527
II	128	127	16	16	0.723554
III	128	127	16	16	0.085563
IV	128	127	16	16	0.092020
V	128	127	16	16	0.734309
NEW	128	127	16	16	0.709250

I	127	128	16	16	0.118581
II	127	128	16	16	0.708269
III	127	128	16	16	0.068947
IV	127	128	16	16	0.076038
V	127	128	16	16	0.704823
NEW	127	128	16	16	0.005804

I	128	1	32	32	0.043982
II	128	1	32	32	0.069274
III	128	1	32	32	0.043606
IV	128	1	32	32	0.204004
V	128	1	32	32	0.223729
NEW	128	1	32	32	0.025124

I	1	128	32	32	0.001394
II	1	128	32	32	0.001626
III	1	128	32	32	0.000582
IV	1	128	32	32	0.000660
V	1	128	32	32	0.001632
NEW	1	128	32	32	0.000020

I	128	64	32	32	7.123198
II	128	64	32	32	3.057500
III	128	64	32	32	2.129445
IV	128	64	32	32	1.219424
V	128	64	32	32	2.141557
NEW	128	64	32	32	1.147467

I	64	128	32	32	0.123827
II	64	128	32	32	0.735346
III	64	128	32	32	0.064959
IV	64	128	32	32	0.077889
V	64	128	32	32	0.790281
NEW	64	128	32	32	0.002981

I	128	127	32	32	0.636157
II	128	127	32	32	2.865882
III	128	127	32	32	0.221070
IV	128	127	32	32	0.261218
V	128	127	32	32	2.945422
NEW	128	127	32	32	2.836522

I	127	128	32	32	0.301824
II	127	128	32	32	2.801175
III	127	128	32	32	0.166492
IV	127	128	32	32	0.197819
V	127	128	32	32	2.878654
NEW	127	128	32	32	0.009375

I	128	1	64	64	0.100122
II	128	1	64	64	0.204097
III	128	1	64	64	0.101054
IV	128	1	64	64	0.804248
V	128	1	64	64	0.895385
NEW	128	1	64	64	0.054245

I	1	128	64	64	0.004604
II	1	128	64	64	0.006403
III	1	128	64	64	0.002009
IV	1	128	64	64	0.002333
V	1	128	64	64	0.006461
NEW	1	128	64	64	0.000035

I	128	64	64	64	39.335498
II	128	64	64	64	13.830545
III	128	64	64	64	9.998842
IV	128	64	64	64	4.742479
V	128	64	64	64	8.557867
NEW	128	64	64	64	4.435264

I	64	128	64	64	0.383328
II	64	128	64	64	2.963048
III	64	128	64	64	0.178023
IV	64	128	64	64	0.213027
V	64	128	64	64	3.002524
NEW	64	128	64	64	0.004834

I	128	127	64	64	1.994194
II	128	127	64	64	10.883389
III	128	127	64	64	0.556434
IV	128	127	64	64	0.769452
V	128	127	64	64	11.111827
NEW	128	127	64	64	10.963429

I	127	128	64	64	0.849430
II	127	128	64	64	10.693179
III	127	128	64	64	0.419614
IV	127	128	64	64	0.560062
V	127	128	64	64	10.793398
NEW	127	128	64	64	0.017609

I	256	1	4	4	0.022003
II	256	1	4	4	0.025525
III	256	1	4	4	0.022173
IV	256	1	4	4	0.037486
V	256	1	4	4	0.038488
NEW	256	1	4	4	0.014038

I	1	256	4	4	0.000184
II	1	256	4	4	0.000097
III	1	256	4	4	0.000060
IV	1	256	4	4	0.000062
V	1	256	4	4	0.000099
NEW	1	256	4	4	0.000013

I	256	128	4	4	0.417838
II	256	128	4	4	0.391112
III	256	128	4	4	0.260744
IV	256	128	4	4	0.251237
V	256	128	4	4	0.376667
NEW	256	128	4	4	0.264837

I	128	256	4	4	0.050561
II	128	256	4	4	0.125904
III	128	256	4	4	0.035157
IV	128	256	4	4	0.037040
V	128	256	4	4	0.128013
NEW	128	256	4	4	0.008928

I	256	255	4	4	0.168803
II	256	255	4	4	0.437213
III	256	255	4	4	0.109309
IV	256	255	4	4	0.112625
V	256	255	4	4	0.457486
NEW	256	255	4	4	0.418114

I	255	256	4	4	0.128159
II	255	256	4	4	0.433519
III	255	256	4	4	0.096293
IV	255	256	4	4	0.103836
V	255	256	4	4	0.438393
NEW	255	256	4	4	0.025217

I	256	1	8	8	0.043551
II	256	1	8	8	0.053922
III	256	1	8	8	0.042887
IV	256	1	8	8	0.085945
V	256	1	8	8	0.092242
NEW	256	1	8	8	0.026537

I	1	256	8	8	0.000402
II	1	256	8	8	0.000285
III	1	256	8	8	0.000138
IV	1	256	8	8	0.000145
V	1	256	8	8	0.000285
NEW	1	256	8	8	0.000016

I	256	128	8	8	1.690801
II	256	128	8	8	1.364231
III	256	128	8	8	0.865706
IV	256	128	8	8	0.748818
V	256	128	8	8	1.283639
NEW	256	128	8	8	0.783660

I	128	256	8	8	0.108508
II	128	256	8	8	0.428749
III	128	256	8	8	0.073279
IV	128	256	8	8	0.075206
V	128	256	8	8	0.429254
NEW	128	256	8	8	0.009843

I	256	255	8	8	0.395259
II	256	255	8	8	1.511586
III	256	255	8	8	0.228075
IV	256	255	8	8	0.230504
V	256	255	8	8	1.485939
NEW	256	255	8	8	1.501496

I	255	256	8	8	0.269598
II	255	256	8	8	1.547330
III	255	256	8	8	0.198968
IV	255	256	8	8	0.209803
V	255	256	8	8	1.518349
NEW	255	256	8	8	0.030356

I	256	1	16	16	0.085573
II	256	1	16	16	0.120854
III	256	1	16	16	0.086643
IV	256	1	16	16	0.253443
V	256	1	16	16	0.277299
NEW	256	1	16	16	0.052418

I	1	256	16	16	0.000986
II	1	256	16	16	0.000915
III	1	256	16	16	0.000356
IV	1	256	16	16	0.000380
V	1	256	16	16	0.000921
NEW	1	256	16	16	0.000020

I	256	128	16	16	7.536111
II	256	128	16	16	5.147357
III	256	128	16	16	3.215472
IV	256	128	16	16	2.524245
V	256	128	16	16	4.457598
NEW	256	128	16	16	2.647614

I	128	256	16	16	0.257885
II	128	256	16	16	1.543893
III	128	256	16	16	0.156529
IV	128	256	16	16	0.165160
V	128	256	16	16	1.550704
NEW	128	256	16	16	0.012007

I	256	255	16	16	1.002338
II	256	255	16	16	5.425816
III	256	255	16	16	0.488546
IV	256	255	16	16	0.522999
V	256	255	16	16	5.454114
NEW	256	255	16	16	5.448522

I	255	256	16	16	0.607066
II	255	256	16	16	5.528221
III	255	256	16	16	0.416994
IV	255	256	16	16	0.438331
V	255	256	16	16	5.481397
NEW	255	256	16	16	0.044354

I	256	1	32	32	0.176897
II	256	1	32	32	0.294594
III	256	1	32	32	0.176228
IV	256	1	32	32	0.859326
V	256	1	32	32	0.948663
NEW	256	1	32	32	0.107920

I	1	256	32	32	0.002973
II	1	256	32	32	0.003332
III	1	256	32	32	0.001059
IV	1	256	32	32	0.001169
V	1	256	32	32	0.003350
NEW	1	256	32	32	0.000031

I	256	128	32	32	36.217951
II	256	128	32	32	20.286455
III	256	128	32	32	12.814305
IV	256	128	32	32	9.021956
V	256	128	32	32	16.636877
NEW	256	128	32	32	9.365885

I	128	256	32	32	0.632653
II	128	256	32	32	5.860423
III	128	256	32	32	0.351760
IV	128	256	32	32	0.378245
V	128	256	32	32	5.512236
NEW	128	256	32	32	0.018942

I	256	255	32	32	2.679973
II	256	255	32	32	19.705021
III	256	255	32	32	1.073201
IV	256	255	32	32	1.248340
V	256	255	32	32	19.782697
NEW	256	255	32	32	19.440505

I	255	256	32	32	1.406943
II	255	256	32	32	19.897750
III	255	256	32	32	0.859140
IV	255	256	32	32	0.977944
V	255	256	32	32	19.901266
NEW	255	256	32	32	0.081551

I	256	1	64	64	0.359376
II	256	1	64	64	0.807364
III	256	1	64	64	0.363349
IV	256	1	64	64	3.100652
V	256	1	64	64	3.414445
NEW	256	1	64	64	0.201918

I	1	256	64	64	0.008563
II	1	256	64	64	0.011739
III	1	256	64	64	0.003292
IV	1	256	64	64	0.003611
V	1	256	64	64	0.011957
NEW	1	256	64	64	0.000049

I	256	128	64	64	187.435390
II	256	128	64	64	89.777472
III	256	128	64	64	56.521871
IV	256	128	64	64	36.058403
V	256	128	64	64	69.247930
NEW	256	128	64	64	34.578237

I	128	256	64	64	1.877964
II	128	256	64	64	21.459962
III	128	256	64	64	0.848520
IV	128	256	64	64	0.996059
V	128	256	64	64	21.633386
NEW	128	256	64	64	0.031873

I	256	255	64	64	8.503466
II	256	255	64	64	77.129478
III	256	255	64	64	2.689886
IV	256	255	64	64	3.558443
V	256	255	64	64	76.512410
NEW	256	255	64	64	79.372607

I	255	256	64	64	3.842523
II	255	256	64	64	78.572644
III	255	256	64	64	2.158283
IV	255	256	64	64	2.664995
V	255	256	64	64	82.559302
NEW	255	256	64	64	0.137226

I	512	1	4	4	0.086279
II	512	1	4	4	0.098865
III	512	1	4	4	0.085309
IV	512	1	4	4	0.144156
V	512	1	4	4	0.149699
NEW	512	1	4	4	0.055564

I	1	512	4	4	0.000339
II	1	512	4	4	0.000177
III	1	512	4	4	0.000103
IV	1	512	4	4	0.000106
V	1	512	4	4	0.000180
NEW	1	512	4	4	0.000023

I	512	256	4	4	2.355546
II	512	256	4	4	2.483735
III	512	256	4	4	1.576997
IV	512	256	4	4	1.629328
V	512	256	4	4	2.488805
NEW	512	256	4	4	1.808507

I	256	512	4	4	0.269068
II	256	512	4	4	0.876219
III	256	512	4	4	0.205670
IV	256	512	4	4	0.211916
V	256	512	4	4	0.839161
NEW	256	512	4	4	0.053366

I	512	511	4	4	0.900305
II	512	511	4	4	1.098276
III	512	511	4	4	0.648640
IV	512	511	4	4	0.641186
V	512	511	4	4	1.082869
NEW	512	511	4	4	1.001877

I	511	512	4	4	0.698574
II	511	512	4	4	1.077751
III	511	512	4	4	0.609556
IV	511	512	4	4	0.606228
V	511	512	4	4	1.099142
NEW	511	512	4	4	0.152484

I	512	1	8	8	0.167235
II	512	1	8	8	0.209421
III	512	1	8	8	0.166898
IV	512	1	8	8	0.335243
V	512	1	8	8	0.357317
NEW	512	1	8	8	0.104238

I	1	512	8	8	0.000745
II	1	512	8	8	0.000534
III	1	512	8	8	0.000253
IV	1	512	8	8	0.000259
V	1	512	8	8	0.000537
NEW	1	512	8	8	0.000027

I	512	256	8	8	9.925072
II	512	256	8	8	9.190426
III	512	256	8	8	5.954213
IV	512	256	8	8	5.430560
V	512	256	8	8	8.702276
NEW	512	256	8	8	5.493047

I	256	512	8	8	0.591520
II	256	512	8	8	2.989040
III	256	512	8	8	0.427230
IV	256	512	8	8	0.433893
V	256	512	8	8	2.923178
NEW	256	512	8	8	0.061880

I	512	511	8	8	2.044211
II	512	511	8	8	3.117430
III	512	511	8	8	1.372437
IV	512	511	8	8	1.319890
V	512	511	8	8	3.180362
NEW	512	511	8	8	3.157339

I	511	512	8	8	1.588903
II	511	512	8	8	3.537505
III	511	512	8	8	1.307511
IV	511	512	8	8	1.297715
V	511	512	8	8	3.445853
NEW	511	512	8	8	0.198760

I	512	1	16	16	0.377448
II	512	1	16	16	0.510540
III	512	1	16	16	0.356505
IV	512	1	16	16	1.053890
V	512	1	16	16	1.166252
NEW	512	1	16	16	0.232416

I	1	512	16	16	0.001990
II	1	512	16	16	0.001932
III	1	512	16	16	0.000690
IV	1	512	16	16	0.000697
V	1	512	16	16	0.001824
NEW	1	512	16	16	0.000038

I	512	256	16	16	42.320376
II	512	256	16	16	33.152068
III	512	256	16	16	19.935412
IV	512	256	16	16	18.216769
V	512	256	16	16	33.240729
NEW	512	256	16	16	18.842416

I	256	512	16	16	1.326015
II	256	512	16	16	10.910058
III	256	512	16	16	0.934240
IV	256	512	16	16	0.949545
V	256	512	16	16	10.924705
NEW	256	512	16	16	0.088952

I	512	511	16	16	5.012953
II	512	511	16	16	9.952999
III	512	511	16	16	2.913619
IV	512	511	16	16	3.011593
V	512	511	16	16	9.870797
NEW	512	511	16	16	9.221694

I	511	512	16	16	3.256395
II	511	512	16	16	9.973605
III	511	512	16	16	2.415213
IV	511	512	16	16	2.531282
V	511	512	16	16	10.054306
NEW	511	512	16	16	0.262570

I	512	1	32	32	0.675695
II	512	1	32	32	1.188875
III	512	1	32	32	0.670396
IV	512	1	32	32	3.315820
V	512	1	32	32	3.653584
NEW	512	1	32	32	0.405955

I	1	512	32	32	0.005186
II	1	512	32	32	0.006192
III	1	512	32	32	0.001888
IV	1	512	32	32	0.001977
V	1	512	32	32	0.006190
NEW	1	512	32	32	0.000053

I	512	256	32	32	181.533936
II	512	256	32	32	132.865095
III	512	256	32	32	76.307751
IV	512	256	32	32	62.749668
V	512	256	32	32	115.247030
NEW	512	256	32	32	61.920042

I	256	512	32	32	3.141548
II	256	512	32	32	39.480876
III	256	512	32	32	1.927720
IV	256	512	32	32	2.055065
V	256	512	32	32	40.983967
NEW	256	512	32	32	0.150149

I	512	511	32	32	12.922817
II	512	511	32	32	35.209676
III	512	511	32	32	7.474476
IV	512	511	32	32	9.300470
V	512	511	32	32	33.964284
NEW	512	511	32	32	32.812333

I	511	512	32	32	7.331340
II	511	512	32	32	34.546765
III	511	512	32	32	5.162764
IV	511	512	32	32	5.646582
V	511	512	32	32	34.924161
NEW	511	512	32	32	0.404405

I	512	1	64	64	1.512365
II	512	1	64	64	3.263190
III	512	1	64	64	1.467310
IV	512	1	64	64	12.869107
V	512	1	64	64	14.294383
NEW	512	1	64	64	0.843026

I	1	512	64	64	0.017706
II	1	512	64	64	0.024425
III	1	512	64	64	0.006537
IV	1	512	64	64	0.006871
V	1	512	64	64	0.024447
NEW	1	512	64	64	0.000086

I	512	256	64	64	881.799926
II	512	256	64	64	524.457643
III	512	256	64	64	311.286228
IV	512	256	64	64	236.375890
V	512	256	64	64	453.391345
NEW	512	256	64	64	237.245185

I	256	512	64	64	8.246035
II	256	512	64	64	157.751815
III	256	512	64	64	4.477476
IV	256	512	64	64	5.045346
V	256	512	64	64	160.059764
NEW	256	512	64	64	0.243804

I	512	511	64	64	39.193032
II	512	511	64	64	122.431691
III	512	511	64	64	14.757424
IV	512	511	64	64	18.381829
V	512	511	64	64	131.291362
NEW	512	511	64	64	130.526183

I	511	512	64	64	19.459687
II	511	512	64	64	133.624913
III	511	512	64	64	11.703374
IV	511	512	64	64	13.951495
V	511	512	64	64	136.285903
NEW	511	512	64	64	0.696613

