Bench mbasis
nbits=30, prime=781683761
n	rdim	cdim	order	deg	time
~~~~WARMUP~~~~
II	4	2	4	4	0.000029
III	4	2	4	4	0.000029
IV	4	2	4	4	0.000029
V	4	2	4	4	0.000027
NEW	4	2	4	4	0.000016

I	2	4	4	4	0.000015
II	2	4	4	4	0.000015
III	2	4	4	4	0.000014
IV	2	4	4	4	0.000016
V	2	4	4	4	0.000017
NEW	2	4	4	4	0.000004

I	4	3	4	4	0.000035
II	4	3	4	4	0.000029
III	4	3	4	4	0.000028
IV	4	3	4	4	0.000029
V	4	3	4	4	0.000030
NEW	4	3	4	4	0.000019

I	3	4	4	4	0.000020
II	3	4	4	4	0.000020
III	3	4	4	4	0.000018
IV	3	4	4	4	0.000021
V	3	4	4	4	0.000022
NEW	3	4	4	4	0.000004

I	4	1	8	8	0.000047
II	4	1	8	8	0.000050
III	4	1	8	8	0.000048
IV	4	1	8	8	0.000060
V	4	1	8	8	0.000053
NEW	4	1	8	8	0.000022

I	1	4	8	8	0.000022
II	1	4	8	8	0.000026
III	1	4	8	8	0.000023
IV	1	4	8	8	0.000031
V	1	4	8	8	0.000028
NEW	1	4	8	8	0.000003

I	4	2	8	8	0.000072
II	4	2	8	8	0.000066
III	4	2	8	8	0.000063
IV	4	2	8	8	0.000069
V	4	2	8	8	0.000070
NEW	4	2	8	8	0.000036

I	2	4	8	8	0.000032
II	2	4	8	8	0.000036
III	2	4	8	8	0.000032
IV	2	4	8	8	0.000040
V	2	4	8	8	0.000040
NEW	2	4	8	8	0.000004

I	4	3	8	8	0.000083
II	4	3	8	8	0.000071
III	4	3	8	8	0.000066
IV	4	3	8	8	0.000072
V	4	3	8	8	0.000070
NEW	4	3	8	8	0.000048

I	3	4	8	8	0.000044
II	3	4	8	8	0.000048
III	3	4	8	8	0.000040
IV	3	4	8	8	0.000049
V	3	4	8	8	0.000052
NEW	3	4	8	8	0.000005

I	4	1	16	16	0.000108
II	4	1	16	16	0.000129
III	4	1	16	16	0.000123
IV	4	1	16	16	0.000173
V	4	1	16	16	0.000146
NEW	4	1	16	16	0.000054

I	1	4	16	16	0.000047
II	1	4	16	16	0.000068
III	1	4	16	16	0.000058
IV	1	4	16	16	0.000087
V	1	4	16	16	0.000077
NEW	1	4	16	16	0.000005

I	4	2	16	16	0.000178
II	4	2	16	16	0.000165
III	4	2	16	16	0.000168
IV	4	2	16	16	0.000200
V	4	2	16	16	0.000175
NEW	4	2	16	16	0.000095

I	2	4	16	16	0.000073
II	2	4	16	16	0.000091
III	2	4	16	16	0.000079
IV	2	4	16	16	0.000106
V	2	4	16	16	0.000107
NEW	2	4	16	16	0.000006

I	4	3	16	16	0.000202
II	4	3	16	16	0.000188
III	4	3	16	16	0.000166
IV	4	3	16	16	0.000196
V	4	3	16	16	0.000195
NEW	4	3	16	16	0.000125

I	3	4	16	16	0.000099
II	3	4	16	16	0.000127
III	3	4	16	16	0.000100
IV	3	4	16	16	0.000130
V	3	4	16	16	0.000141
NEW	3	4	16	16	0.000007

I	4	1	32	32	0.000248
II	4	1	32	32	0.000349
III	4	1	32	32	0.000337
IV	4	1	32	32	0.000569
V	4	1	32	32	0.000477
NEW	4	1	32	32	0.000147

I	1	4	32	32	0.000101
II	1	4	32	32	0.000205
III	1	4	32	32	0.000162
IV	1	4	32	32	0.000243
V	1	4	32	32	0.000217
NEW	1	4	32	32	0.000010

I	4	2	32	32	0.000460
II	4	2	32	32	0.000489
III	4	2	32	32	0.000448
IV	4	2	32	32	0.000616
V	4	2	32	32	0.000557
NEW	4	2	32	32	0.000279

I	2	4	32	32	0.000170
II	2	4	32	32	0.000296
III	2	4	32	32	0.000219
IV	2	4	32	32	0.000320
V	2	4	32	32	0.000323
NEW	2	4	32	32	0.000011

I	4	3	32	32	0.000525
II	4	3	32	32	0.000555
III	4	3	32	32	0.000456
IV	4	3	32	32	0.000606
V	4	3	32	32	0.000634
NEW	4	3	32	32	0.000398

I	3	4	32	32	0.000243
II	3	4	32	32	0.000411
III	3	4	32	32	0.000272
IV	3	4	32	32	0.000391
V	3	4	32	32	0.000438
NEW	3	4	32	32	0.000013

I	4	1	64	64	0.000660
II	4	1	64	64	0.001076
III	4	1	64	64	0.001058
IV	4	1	64	64	0.002017
V	4	1	64	64	0.001735
NEW	4	1	64	64	0.000453

I	1	4	64	64	0.000261
II	1	4	64	64	0.000695
III	1	4	64	64	0.000507
IV	1	4	64	64	0.000823
V	1	4	64	64	0.000713
NEW	1	4	64	64	0.000019

I	4	2	64	64	0.001300
II	4	2	64	64	0.001508
III	4	2	64	64	0.001353
IV	4	2	64	64	0.002119
V	4	2	64	64	0.001906
NEW	4	2	64	64	0.000889

I	2	4	64	64	0.000436
II	2	4	64	64	0.000988
III	2	4	64	64	0.000659
IV	2	4	64	64	0.001051
V	2	4	64	64	0.001070
NEW	2	4	64	64	0.000021

I	4	3	64	64	0.001538
II	4	3	64	64	0.001790
III	4	3	64	64	0.001372
IV	4	3	64	64	0.002052
V	4	3	64	64	0.002023
NEW	4	3	64	64	0.001294

I	3	4	64	64	0.000630
II	3	4	64	64	0.001345
III	3	4	64	64	0.000825
IV	3	4	64	64	0.001303
V	3	4	64	64	0.001499
NEW	3	4	64	64	0.000022

I	8	1	4	4	0.000050
II	8	1	4	4	0.000048
III	8	1	4	4	0.000047
IV	8	1	4	4	0.000054
V	8	1	4	4	0.000053
NEW	8	1	4	4	0.000024

I	1	8	4	4	0.000013
II	1	8	4	4	0.000012
III	1	8	4	4	0.000011
IV	1	8	4	4	0.000013
V	1	8	4	4	0.000013
NEW	1	8	4	4	0.000003

I	8	4	4	4	0.000128
II	8	4	4	4	0.000091
III	8	4	4	4	0.000086
IV	8	4	4	4	0.000078
V	8	4	4	4	0.000080
NEW	8	4	4	4	0.000041

I	4	8	4	4	0.000042
II	4	8	4	4	0.000033
III	4	8	4	4	0.000027
IV	4	8	4	4	0.000031
V	4	8	4	4	0.000035
NEW	4	8	4	4	0.000006

I	8	7	4	4	0.000122
II	8	7	4	4	0.000087
III	8	7	4	4	0.000072
IV	8	7	4	4	0.000072
V	8	7	4	4	0.000083
NEW	8	7	4	4	0.000052

I	7	8	4	4	0.000069
II	7	8	4	4	0.000060
III	7	8	4	4	0.000045
IV	7	8	4	4	0.000052
V	7	8	4	4	0.000065
