Bench mbasis
nbits=20, prime=1018931
n	rdim	cdim	order	deg	time
~~~~WARMUP~~~~
I	4	2	128	128	0.003914
II	4	2	128	128	0.004334
III	4	2	128	128	0.003860
IV	4	2	128	128	0.006834
V	4	2	128	128	0.006059
NEW	4	2	128	128	0.002571

~~~~WARMUP DONE~~~~
I	2	1	4	4	0.000010
II	2	1	4	4	0.000010
III	2	1	4	4	0.000011
IV	2	1	4	4	0.000013
V	2	1	4	4	0.000011
NEW	2	1	4	4	0.000006

I	1	2	4	4	0.000008
II	1	2	4	4	0.000010
III	1	2	4	4	0.000011
IV	1	2	4	4	0.000012
V	1	2	4	4	0.000010
NEW	1	2	4	4	0.000003

I	2	1	4	4	0.000011
II	2	1	4	4	0.000011
III	2	1	4	4	0.000013
IV	2	1	4	4	0.000015
V	2	1	4	4	0.000013
NEW	2	1	4	4	0.000007

I	1	2	4	4	0.000009
II	1	2	4	4	0.000009
III	1	2	4	4	0.000009
IV	1	2	4	4	0.000012
V	1	2	4	4	0.000011
NEW	1	2	4	4	0.000003

I	2	1	4	4	0.000011
II	2	1	4	4	0.000011
III	2	1	4	4	0.000013
IV	2	1	4	4	0.000015
V	2	1	4	4	0.000013
NEW	2	1	4	4	0.000007

I	1	2	4	4	0.000009
II	1	2	4	4	0.000009
III	1	2	4	4	0.000009
IV	1	2	4	4	0.000011
V	1	2	4	4	0.000010
NEW	1	2	4	4	0.000003

I	2	1	8	8	0.000025
II	2	1	8	8	0.000033
III	2	1	8	8	0.000034
IV	2	1	8	8	0.000045
V	2	1	8	8	0.000033
NEW	2	1	8	8	0.000018

I	1	2	8	8	0.000017
II	1	2	8	8	0.000022
III	1	2	8	8	0.000022
IV	1	2	8	8	0.000030
V	1	2	8	8	0.000025
NEW	1	2	8	8	0.000003

I	2	1	8	8	0.000024
II	2	1	8	8	0.000028
III	2	1	8	8	0.000032
IV	2	1	8	8	0.000038
V	2	1	8	8	0.000031
NEW	2	1	8	8	0.000017

I	1	2	8	8	0.000019
II	1	2	8	8	0.000023
III	1	2	8	8	0.000025
IV	1	2	8	8	0.000029
V	1	2	8	8	0.000027
NEW	1	2	8	8	0.000004

I	2	1	8	8	0.000026
II	2	1	8	8	0.000028
III	2	1	8	8	0.000030
IV	2	1	8	8	0.000038
V	2	1	8	8	0.000033
NEW	2	1	8	8	0.000018

I	1	2	8	8	0.000017
II	1	2	8	8	0.000021
III	1	2	8	8	0.000021
IV	1	2	8	8	0.000028
V	1	2	8	8	0.000028
NEW	1	2	8	8	0.000004

I	2	1	16	16	0.000054
II	2	1	16	16	0.000067
III	2	1	16	16	0.000070
IV	2	1	16	16	0.000098
V	2	1	16	16	0.000085
NEW	2	1	16	16	0.000044

I	1	2	16	16	0.000033
II	1	2	16	16	0.000051
III	1	2	16	16	0.000052
IV	1	2	16	16	0.000073
V	1	2	16	16	0.000061
NEW	1	2	16	16	0.000004

I	2	1	16	16	0.000050
II	2	1	16	16	0.000068
III	2	1	16	16	0.000070
IV	2	1	16	16	0.000099
V	2	1	16	16	0.000079
NEW	2	1	16	16	0.000042

I	1	2	16	16	0.000044
II	1	2	16	16	0.000054
III	1	2	16	16	0.000051
IV	1	2	16	16	0.000073
V	1	2	16	16	0.000061
NEW	1	2	16	16	0.000004

I	2	1	16	16	0.000050
II	2	1	16	16	0.000075
III	2	1	16	16	0.000074
IV	2	1	16	16	0.000096
V	2	1	16	16	0.000076
NEW	2	1	16	16	0.000038

I	1	2	16	16	0.000035
II	1	2	16	16	0.000053
III	1	2	16	16	0.000051
IV	1	2	16	16	0.000074
V	1	2	16	16	0.000065
NEW	1	2	16	16	0.000005

I	2	1	32	32	0.000125
II	2	1	32	32	0.000211
III	2	1	32	32	0.000201
IV	2	1	32	32	0.000311
V	2	1	32	32	0.000244
NEW	2	1	32	32	0.000108

I	1	2	32	32	0.000078
II	1	2	32	32	0.000166
III	1	2	32	32	0.000144
IV	1	2	32	32	0.000221
V	1	2	32	32	0.000181
NEW	1	2	32	32	0.000009

I	2	1	32	32	0.000117
II	2	1	32	32	0.000201
III	2	1	32	32	0.000202
IV	2	1	32	32	0.000309
V	2	1	32	32	0.000238
NEW	2	1	32	32	0.000107

I	1	2	32	32	0.000074
II	1	2	32	32	0.000169
III	1	2	32	32	0.000146
IV	1	2	32	32	0.000228
V	1	2	32	32	0.000182
NEW	1	2	32	32	0.000009

I	2	1	32	32	0.000113
II	2	1	32	32	0.000203
III	2	1	32	32	0.000202
IV	2	1	32	32	0.000311
V	2	1	32	32	0.000241
NEW	2	1	32	32	0.000107

I	1	2	32	32	0.000074
II	1	2	32	32	0.000171
III	1	2	32	32	0.000151
IV	1	2	32	32	0.000228
V	1	2	32	32	0.000185
NEW	1	2	32	32	0.000010

I	2	1	64	64	0.000295
II	2	1	64	64	0.000665
III	2	1	64	64	0.000640
IV	2	1	64	64	0.001095
V	2	1	64	64	0.000824
NEW	2	1	64	64	0.000346

I	1	2	64	64	0.000178
II	1	2	64	64	0.000563
III	1	2	64	64	0.000454
IV	1	2	64	64	0.000756
V	1	2	64	64	0.000592
NEW	1	2	64	64	0.000017

I	2	1	64	64	0.000293
II	2	1	64	64	0.000659
III	2	1	64	64	0.000638
IV	2	1	64	64	0.001087
V	2	1	64	64	0.000815
NEW	2	1	64	64	0.000344

I	1	2	64	64	0.000177
II	1	2	64	64	0.000581
III	1	2	64	64	0.000442
IV	1	2	64	64	0.000743
V	1	2	64	64	0.000591
NEW	1	2	64	64	0.000017

I	2	1	64	64	0.000292
II	2	1	64	64	0.000654
III	2	1	64	64	0.000636
IV	2	1	64	64	0.001083
V	2	1	64	64	0.000819
NEW	2	1	64	64	0.000342

I	1	2	64	64	0.000176
II	1	2	64	64	0.000560
III	1	2	64	64	0.000447
IV	1	2	64	64	0.000747
V	1	2	64	64	0.000597
NEW	1	2	64	64	0.000017

I	4	1	4	4	0.000019
II	4	1	4	4	0.000019
III	4	1	4	4	0.000019
IV	4	1	4	4	0.000022
V	4	1	4	4	0.000021
NEW	4	1	4	4	0.000009

I	1	4	4	4	0.000009
II	1	4	4	4	0.000009
III	1	4	4	4	0.000009
IV	1	4	4	4	0.000013
V	1	4	4	4	0.000011
NEW	1	4	4	4	0.000002

I	4	2	4	4	0.000029
II	4	2	4	4	0.000026
III	4	2	4	4	0.000025
IV	4	2	4	4	0.000026
V	4	2	4	4	0.000025
NEW	4	2	4	4	0.000014

I	2	4	4	4	0.000014
II	2	4	4	4	0.000014
III	2	4	4	4	0.000013
IV	2	4	4	4	0.000015
V	2	4	4	4	0.000015
NEW	2	4	4	4	0.000003

I	4	3	4	4	0.000031
II	4	3	4	4	0.000027
III	4	3	4	4	0.000025
IV	4	3	4	4	0.000027
V	4	3	4	4	0.000027
NEW	4	3	4	4	0.000017

I	3	4	4	4	0.000019
II	3	4	4	4	0.000018
III	3	4	4	4	0.000016
IV	3	4	4	4	0.000019
V	3	4	4	4	0.000020
NEW	3	4	4	4	0.000004

I	4	1	8	8	0.000043
II	4	1	8	8	0.000047
III	4	1	8	8	0.000044
IV	4	1	8	8	0.000056
V	4	1	8	8	0.000050
NEW	4	1	8	8	0.000021

I	1	4	8	8	0.000020
II	1	4	8	8	0.000024
III	1	4	8	8	0.000021
IV	1	4	8	8	0.000029
V	1	4	8	8	0.000027
NEW	1	4	8	8	0.000003

I	4	2	8	8	0.000067
II	4	2	8	8	0.000060
III	4	2	8	8	0.000058
IV	4	2	8	8	0.000063
V	4	2	8	8	0.000058
NEW	4	2	8	8	0.000033

I	2	4	8	8	0.000028
II	2	4	8	8	0.000031
III	2	4	8	8	0.000028
IV	2	4	8	8	0.000038
V	2	4	8	8	0.000036
NEW	2	4	8	8	0.000004

I	4	3	8	8	0.000076
II	4	3	8	8	0.000064
III	4	3	8	8	0.000059
IV	4	3	8	8	0.000066
V	4	3	8	8	0.000064
NEW	4	3	8	8	0.000042

I	3	4	8	8	0.000040
II	3	4	8	8	0.000044
III	3	4	8	8	0.000037
IV	3	4	8	8	0.000045
V	3	4	8	8	0.000048
NEW	3	4	8	8	0.000005

I	4	1	16	16	0.000098
II	4	1	16	16	0.000117
III	4	1	16	16	0.000113
IV	4	1	16	16	0.000164
V	4	1	16	16	0.000140
NEW	4	1	16	16	0.000050

I	1	4	16	16	0.000040
II	1	4	16	16	0.000057
III	1	4	16	16	0.000053
IV	1	4	16	16	0.000074
V	1	4	16	16	0.000067
NEW	1	4	16	16	0.000005

I	4	2	16	16	0.000165
II	4	2	16	16	0.000153
III	4	2	16	16	0.000146
IV	4	2	16	16	0.000177
V	4	2	16	16	0.000163
NEW	4	2	16	16	0.000084

I	2	4	16	16	0.000066
II	2	4	16	16	0.000085
III	2	4	16	16	0.000072
IV	2	4	16	16	0.000098
V	2	4	16	16	0.000099
NEW	2	4	16	16	0.000006

I	4	3	16	16	0.000186
II	4	3	16	16	0.000177
III	4	3	16	16	0.000150
IV	4	3	16	16	0.000177
V	4	3	16	16	0.000179
NEW	4	3	16	16	0.000114

I	3	4	16	16	0.000095
II	3	4	16	16	0.000118
III	3	4	16	16	0.000090
IV	3	4	16	16	0.000140
V	3	4	16	16	0.000157
NEW	3	4	16	16	0.000009

I	4	1	32	32	0.000252
II	4	1	32	32	0.000352
III	4	1	32	32	0.000342
IV	4	1	32	32	0.000567
V	4	1	32	32	0.000478
NEW	4	1	32	32	0.000142

I	1	4	32	32	0.000101
II	1	4	32	32	0.000207
III	1	4	32	32	0.000163
IV	1	4	32	32	0.000247
V	1	4	32	32	0.000220
NEW	1	4	32	32	0.000010

I	4	2	32	32	0.000455
II	4	2	32	32	0.000480
III	4	2	32	32	0.000444
IV	4	2	32	32	0.000612
V	4	2	32	32	0.000554
NEW	4	2	32	32	0.000264

I	2	4	32	32	0.000168
II	2	4	32	32	0.000296
III	2	4	32	32	0.000217
IV	2	4	32	32	0.000321
V	2	4	32	32	0.000322
NEW	2	4	32	32	0.000011

I	4	3	32	32	0.000521
II	4	3	32	32	0.000542
III	4	3	32	32	0.000445
IV	4	3	32	32	0.000597
V	4	3	32	32	0.000600
NEW	4	3	32	32	0.000375

I	3	4	32	32	0.000236
II	3	4	32	32	0.000395
III	3	4	32	32	0.000265
IV	3	4	32	32	0.000385
V	3	4	32	32	0.000436
NEW	3	4	32	32	0.000013

I	4	1	64	64	0.000665
II	4	1	64	64	0.001081
III	4	1	64	64	0.001051
IV	4	1	64	64	0.002022
V	4	1	64	64	0.001842
NEW	4	1	64	64	0.000432

I	1	4	64	64	0.000256
II	1	4	64	64	0.000771
III	1	4	64	64	0.000505
IV	1	4	64	64	0.000823
V	1	4	64	64	0.000723
NEW	1	4	64	64	0.000022

I	4	2	64	64	0.001374
II	4	2	64	64	0.001705
III	4	2	64	64	0.001362
IV	4	2	64	64	0.002151
V	4	2	64	64	0.001909
NEW	4	2	64	64	0.000844

I	2	4	64	64	0.000441
II	2	4	64	64	0.000995
III	2	4	64	64	0.000666
IV	2	4	64	64	0.001078
V	2	4	64	64	0.001107
NEW	2	4	64	64	0.000021

I	4	3	64	64	0.001538
II	4	3	64	64	0.001780
III	4	3	64	64	0.001374
IV	4	3	64	64	0.002081
V	4	3	64	64	0.002109
NEW	4	3	64	64	0.001273

I	3	4	64	64	0.000635
II	3	4	64	64	0.001344
III	3	4	64	64	0.000811
IV	3	4	64	64	0.001303
V	3	4	64	64	0.001547
NEW	3	4	64	64	0.000023

I	8	1	4	4	0.000051
II	8	1	4	4	0.000048
III	8	1	4	4	0.000048
IV	8	1	4	4	0.000056
V	8	1	4	4	0.000053
NEW	8	1	4	4	0.000023

I	1	8	4	4	0.000013
II	1	8	4	4	0.000012
III	1	8	4	4	0.000011
IV	1	8	4	4	0.000013
V	1	8	4	4	0.000013
NEW	1	8	4	4	0.000003

I	8	4	4	4	0.000123
II	8	4	4	4	0.000091
III	8	4	4	4	0.000085
IV	8	4	4	4	0.000076
V	8	4	4	4	0.000078
NEW	8	4	4	4	0.000041

I	4	8	4	4	0.000042
II	4	8	4	4	0.000033
III	4	8	4	4	0.000027
IV	4	8	4	4	0.000031
V	4	8	4	4	0.000036
NEW	4	8	4	4	0.000006

I	8	7	4	4	0.000125
II	8	7	4	4	0.000089
III	8	7	4	4	0.000072
IV	8	7	4	4	0.000070
V	8	7	4	4	0.000080
NEW	8	7	4	4	0.000051

I	7	8	4	4	0.000066
II	7	8	4	4	0.000059
III	7	8	4	4	0.000044
IV	7	8	4	4	0.000052
V	7	8	4	4	0.000065
NEW	7	8	4	4	0.000009

I	8	1	8	8	0.000107
II	8	1	8	8	0.000110
III	8	1	8	8	0.000103
IV	8	1	8	8	0.000134
V	8	1	8	8	0.000128
NEW	8	1	8	8	0.000042

I	1	8	8	8	0.000026
II	1	8	8	8	0.000028
III	1	8	8	8	0.000025
IV	1	8	8	8	0.000031
V	1	8	8	8	0.000031
NEW	1	8	8	8	0.000004

I	8	4	8	8	0.000307
II	8	4	8	8	0.000214
III	8	4	8	8	0.000191
IV	8	4	8	8	0.000176
V	8	4	8	8	0.000186
NEW	8	4	8	8	0.000096

I	4	8	8	8	0.000086
II	4	8	8	8	0.000082
III	4	8	8	8	0.000059
IV	4	8	8	8	0.000068
V	4	8	8	8	0.000087
NEW	4	8	8	8	0.000007

I	8	7	8	8	0.000291
II	8	7	8	8	0.000221
III	8	7	8	8	0.000163
IV	8	7	8	8	0.000163
V	8	7	8	8	0.000205
NEW	8	7	8	8	0.000144

I	7	8	8	8	0.000151
II	7	8	8	8	0.000155
III	7	8	8	8	0.000098
IV	7	8	8	8	0.000112
V	7	8	8	8	0.000160
NEW	7	8	8	8	0.000011

I	8	1	16	16	0.000254
II	8	1	16	16	0.000291
III	8	1	16	16	0.000249
IV	8	1	16	16	0.000402
V	8	1	16	16	0.000377
NEW	8	1	16	16	0.000097

