Bench mbasis
nbits=20, prime=1018931
n	rdim	cdim	order	deg	time
IV	16	32	64	64	0.012230
V	16	32	64	64	0.048517
NEW	16	32	64	64	0.000169

I	32	31	64	64	0.100129
II	32	31	64	64	0.130982
III	32	31	64	64	0.028277
IV	32	31	64	64	0.040567
V	32	31	64	64	0.140953
NEW	32	31	64	64	0.126566

I	31	32	64	64	0.038263
II	31	32	64	64	0.127696
III	31	32	64	64	0.018854
IV	31	32	64	64	0.029605
V	31	32	64	64	0.136145
NEW	31	32	64	64	0.000571

I	64	1	4	4	0.001427
II	64	1	4	4	0.001550
III	64	1	4	4	0.001377
IV	64	1	4	4	0.002281
V	64	1	4	4	0.002391
NEW	64	1	4	4	0.000823

I	1	64	4	4	0.000050
II	1	64	4	4	0.000029
III	1	64	4	4	0.000020
IV	1	64	4	4	0.000022
V	1	64	4	4	0.000030
NEW	1	64	4	4	0.000006

I	64	32	4	4	0.010955
II	64	32	4	4	0.007292
III	64	32	4	4	0.005931
IV	64	32	4	4	0.004709
V	64	32	4	4	0.005788
NEW	64	32	4	4	0.003319

I	32	64	4	4	0.001736
II	32	64	4	4	0.001911
III	32	64	4	4	0.000881
IV	32	64	4	4	0.000981
V	32	64	4	4	0.002003
NEW	32	64	4	4	0.000209

I	64	63	4	4	0.006153
II	64	63	4	4	0.006500
III	64	63	4	4	0.003050
IV	64	63	4	4	0.003232
V	64	63	4	4	0.006562
NEW	64	63	4	4	0.005195

I	63	64	4	4	0.003992
II	63	64	4	4	0.005764
III	63	64	4	4	0.002358
IV	63	64	4	4	0.002757
V	63	64	4	4	0.006086
NEW	63	64	4	4	0.000582

I	64	1	8	8	0.002816
II	64	1	8	8	0.003173
III	64	1	8	8	0.002712
IV	64	1	8	8	0.005223
V	64	1	8	8	0.005432
NEW	64	1	8	8	0.001576

I	1	64	8	8	0.000112
II	1	64	8	8	0.000080
III	1	64	8	8	0.000047
IV	1	64	8	8	0.000054
V	1	64	8	8	0.000084
NEW	1	64	8	8	0.000006

I	64	32	8	8	0.035365
II	64	32	8	8	0.022433
III	64	32	8	8	0.017628
IV	64	32	8	8	0.011445
V	64	32	8	8	0.016398
NEW	64	32	8	8	0.009832

I	32	64	8	8	0.004024
II	32	64	8	8	0.005934
III	32	64	8	8	0.001928
IV	32	64	8	8	0.002104
V	32	64	8	8	0.005985
NEW	32	64	8	8	0.000274

I	64	63	8	8	0.015460
II	64	63	8	8	0.019391
III	64	63	8	8	0.006899
IV	64	63	8	8	0.006670
V	64	63	8	8	0.019409
NEW	64	63	8	8	0.017194

I	63	64	8	8	0.008687
II	63	64	8	8	0.018184
III	63	64	8	8	0.005022
IV	63	64	8	8	0.005683
V	63	64	8	8	0.018479
NEW	63	64	8	8	0.000709

I	64	1	16	16	0.005870
II	64	1	16	16	0.007193
III	64	1	16	16	0.005684
IV	64	1	16	16	0.015420
V	64	1	16	16	0.016382
NEW	64	1	16	16	0.003118

I	1	64	16	16	0.000271
II	1	64	16	16	0.000265
III	1	64	16	16	0.000128
IV	1	64	16	16	0.000145
V	1	64	16	16	0.000259
NEW	1	64	16	16	0.000008

I	64	32	16	16	0.094091
II	64	32	16	16	0.076476
III	64	32	16	16	0.058828
IV	64	32	16	16	0.035473
V	64	32	16	16	0.053083
NEW	64	32	16	16	0.028754

I	32	64	16	16	0.009025
II	32	64	16	16	0.019444
III	32	64	16	16	0.004487
IV	32	64	16	16	0.005072
V	32	64	16	16	0.020154
NEW	32	64	16	16	0.000331

I	64	63	16	16	0.041713
II	64	63	16	16	0.064012
III	64	63	16	16	0.015188
IV	64	63	16	16	0.016800
V	64	63	16	16	0.066124
NEW	64	63	16	16	0.061647

I	63	64	16	16	0.020723
II	63	64	16	16	0.062475
III	63	64	16	16	0.011286
IV	63	64	16	16	0.014162
V	63	64	16	16	0.064145
NEW	63	64	16	16	0.000962

I	64	1	32	32	0.013014
II	64	1	32	32	0.017337
III	64	1	32	32	0.012349
IV	64	1	32	32	0.052795
V	64	1	32	32	0.056155
NEW	64	1	32	32	0.006356

I	1	64	32	32	0.000742
II	1	64	32	32	0.000915
III	1	64	32	32	0.000388
IV	1	64	32	32	0.000445
V	1	64	32	32	0.000903
NEW	1	64	32	32	0.000014

I	64	32	32	32	0.206826
II	64	32	32	32	0.207466
III	64	32	32	32	0.135620
IV	64	32	32	32	0.119670
V	64	32	32	32	0.186139
NEW	64	32	32	32	0.098274

I	32	64	32	32	0.024206
II	32	64	32	32	0.068896
III	32	64	32	32	0.011715
IV	32	64	32	32	0.014072
V	32	64	32	32	0.072162
NEW	32	64	32	32	0.000479

I	64	63	32	32	0.126986
II	64	63	32	32	0.228368
III	64	63	32	32	0.037848
IV	64	63	32	32	0.046996
V	64	63	32	32	0.238873
NEW	64	63	32	32	0.222138

I	63	64	32	32	0.052631
II	63	64	32	32	0.224666
III	63	64	32	32	0.027764
IV	63	64	32	32	0.035249
V	63	64	32	32	0.231980
NEW	63	64	32	32	0.001532

I	64	1	64	64	0.028163
II	64	1	64	64	0.046451
III	64	1	64	64	0.028335
IV	64	1	64	64	0.192607
V	64	1	64	64	0.213641
NEW	64	1	64	64	0.012876

I	1	64	64	64	0.002217
II	1	64	64	64	0.003257
III	1	64	64	64	0.001153
IV	1	64	64	64	0.001455
V	1	64	64	64	0.003271
NEW	1	64	64	64	0.000024

I	64	32	64	64	0.524681
II	64	32	64	64	0.587463
III	64	32	64	64	0.310724
IV	64	32	64	64	0.443379
V	64	32	64	64	0.709907
NEW	64	32	64	64	0.359451

I	32	64	64	64	0.072303
II	32	64	64	64	0.261344
III	32	64	64	64	0.033669
IV	32	64	64	64	0.043825
V	32	64	64	64	0.267239
NEW	32	64	64	64	0.000763

I	64	63	64	64	0.444760
II	64	63	64	64	0.872186
III	64	63	64	64	0.105818
IV	64	63	64	64	0.148655
V	64	63	64	64	0.894596
NEW	64	63	64	64	0.852700

I	63	64	64	64	0.167625
II	63	64	64	64	0.881761
III	63	64	64	64	0.075690
IV	63	64	64	64	0.111998
V	63	64	64	64	0.883806
NEW	63	64	64	64	0.002865

I	128	1	4	4	0.005146
II	128	1	4	4	0.005710
III	128	1	4	4	0.005274
IV	128	1	4	4	0.008735
V	128	1	4	4	0.009093
NEW	128	1	4	4	0.003252

I	1	128	4	4	0.000094
II	1	128	4	4	0.000051
III	1	128	4	4	0.000034
IV	1	128	4	4	0.000036
V	1	128	4	4	0.000052
NEW	1	128	4	4	0.000008

I	128	64	4	4	0.065896
II	128	64	4	4	0.041940
III	128	64	4	4	0.031777
IV	128	64	4	4	0.025856
V	128	64	4	4	0.035714
NEW	128	64	4	4	0.022136

I	64	128	4	4	0.008070
II	64	128	4	4	0.011646
III	64	128	4	4	0.004556
IV	64	128	4	4	0.005037
V	64	128	4	4	0.011892
NEW	64	128	4	4	0.001107

I	128	127	4	4	0.028438
II	128	127	4	4	0.018849
III	128	127	4	4	0.015395
IV	128	127	4	4	0.016148
V	128	127	4	4	0.019300
NEW	128	127	4	4	0.013812

I	127	128	4	4	0.020386
II	127	128	4	4	0.016749
III	127	128	4	4	0.012707
IV	127	128	4	4	0.014420
V	127	128	4	4	0.017984
NEW	127	128	4	4	0.003231

I	128	1	8	8	0.011465
II	128	1	8	8	0.012830
III	128	1	8	8	0.010328
IV	128	1	8	8	0.020620
V	128	1	8	8	0.021727
NEW	128	1	8	8	0.006232

I	1	128	8	8	0.000203
II	1	128	8	8	0.000145
III	1	128	8	8	0.000078
IV	1	128	8	8	0.000084
V	1	128	8	8	0.000150
NEW	1	128	8	8	0.000009

I	128	64	8	8	0.249078
II	128	64	8	8	0.144988
III	128	64	8	8	0.106205
IV	128	64	8	8	0.068525
V	128	64	8	8	0.106704
NEW	128	64	8	8	0.064059

I	64	128	8	8	0.017162
II	64	128	8	8	0.036463
III	64	128	8	8	0.009628
IV	64	128	8	8	0.010286
V	64	128	8	8	0.037085
NEW	64	128	8	8	0.001271

I	128	127	8	8	0.070514
II	128	127	8	8	0.047057
III	128	127	8	8	0.033001
IV	128	127	8	8	0.034622
V	128	127	8	8	0.044426
NEW	128	127	8	8	0.035202

I	127	128	8	8	0.044384
II	127	128	8	8	0.041530
III	127	128	8	8	0.026530
IV	127	128	8	8	0.028829
V	127	128	8	8	0.043377
NEW	127	128	8	8	0.003975

I	128	1	16	16	0.021589
II	128	1	16	16	0.028470
III	128	1	16	16	0.021553
IV	128	1	16	16	0.061916
V	128	1	16	16	0.064855
NEW	128	1	16	16	0.012662

I	1	128	16	16	0.000514
II	1	128	16	16	0.000474
III	1	128	16	16	0.000199
IV	1	128	16	16	0.000229
V	1	128	16	16	0.000490
NEW	1	128	16	16	0.000013

I	128	64	16	16	1.124822
II	128	64	16	16	0.531182
III	128	64	16	16	0.388420
IV	128	64	16	16	0.212630
V	128	64	16	16	0.352470
NEW	128	64	16	16	0.202349

I	64	128	16	16	0.040406
II	64	128	16	16	0.125010
III	64	128	16	16	0.022261
IV	64	128	16	16	0.023738
V	64	128	16	16	0.125133
NEW	64	128	16	16	0.001624

I	128	127	16	16	0.189807
II	128	127	16	16	0.117679
III	128	127	16	16	0.073698
IV	128	127	16	16	0.078461
V	128	127	16	16	0.121811
NEW	128	127	16	16	0.100816

I	127	128	16	16	0.100101
II	127	128	16	16	0.107232
III	127	128	16	16	0.057634
IV	127	128	16	16	0.066109
V	127	128	16	16	0.113439
NEW	127	128	16	16	0.005392

I	128	1	32	32	0.044390
II	128	1	32	32	0.064460
III	128	1	32	32	0.043559
IV	128	1	32	32	0.202901
V	128	1	32	32	0.220639
NEW	128	1	32	32	0.024441

I	1	128	32	32	0.001410
II	1	128	32	32	0.001614
III	1	128	32	32	0.000573
IV	1	128	32	32	0.000655
V	1	128	32	32	0.001622
NEW	1	128	32	32	0.000021

I	128	64	32	32	5.174544
II	128	64	32	32	2.139522
III	128	64	32	32	1.582659
IV	128	64	32	32	0.742528
V	128	64	32	32	1.304398
NEW	128	64	32	32	0.689542

I	64	128	32	32	0.111328
II	64	128	32	32	0.448020
III	64	128	32	32	0.053355
IV	64	128	32	32	0.061538
V	64	128	32	32	0.456533
NEW	64	128	32	32	0.002424

I	128	127	32	32	0.570520
II	128	127	32	32	0.346094
III	128	127	32	32	0.173638
IV	128	127	32	32	0.206429
V	128	127	32	32	0.377683
NEW	128	127	32	32	0.320596

I	127	128	32	32	0.260340
II	127	128	32	32	0.325453
III	127	128	32	32	0.135445
IV	127	128	32	32	0.167630
V	127	128	32	32	0.348977
NEW	127	128	32	32	0.008544

I	128	1	64	64	0.093303
II	128	1	64	64	0.176774
III	128	1	64	64	0.095254
IV	128	1	64	64	0.758515
V	128	1	64	64	0.823825
NEW	128	1	64	64	0.051280

I	1	128	64	64	0.004348
II	1	128	64	64	0.006052
III	1	128	64	64	0.001907
IV	1	128	64	64	0.002233
V	1	128	64	64	0.006039
NEW	1	128	64	64	0.000033

I	128	64	64	64	25.769436
II	128	64	64	64	9.122313
III	128	64	64	64	6.826610
IV	128	64	64	64	2.793616
V	128	64	64	64	4.967671
NEW	128	64	64	64	2.536620

I	64	128	64	64	0.344542
II	64	128	64	64	1.706102
III	64	128	64	64	0.145465
IV	64	128	64	64	0.180811
V	64	128	64	64	1.750726
NEW	64	128	64	64	0.004704

I	128	127	64	64	1.893247
II	128	127	64	64	1.172644
III	128	127	64	64	0.470630
IV	128	127	64	64	0.650764
V	128	127	64	64	1.298550
NEW	128	127	64	64	1.157824

I	127	128	64	64	0.815278
II	127	128	64	64	1.117820
III	127	128	64	64	0.357103
IV	127	128	64	64	0.494090
V	127	128	64	64	1.229349
NEW	127	128	64	64	0.018201

I	256	1	4	4	0.020918
II	256	1	4	4	0.023921
III	256	1	4	4	0.020705
IV	256	1	4	4	0.035452
V	256	1	4	4	0.042228
NEW	256	1	4	4	0.013608

I	1	256	4	4	0.000179
II	1	256	4	4	0.000099
III	1	256	4	4	0.000058
IV	1	256	4	4	0.000064
V	1	256	4	4	0.000096
NEW	1	256	4	4	0.000013

I	256	128	4	4	0.212734
II	256	128	4	4	0.117882
III	256	128	4	4	0.109124
IV	256	128	4	4	0.073279
V	256	128	4	4	0.079764
NEW	256	128	4	4	0.053753

I	128	256	4	4	0.044719
II	128	256	4	4	0.036105
III	128	256	4	4	0.026609
IV	128	256	4	4	0.028299
V	128	256	4	4	0.034930
NEW	128	256	4	4	0.006904

I	256	255	4	4	0.145247
II	256	255	4	4	0.102611
III	256	255	4	4	0.085713
IV	256	255	4	4	0.087397
V	256	255	4	4	0.101366
NEW	256	255	4	4	0.078542

I	255	256	4	4	0.101150
II	255	256	4	4	0.088312
III	255	256	4	4	0.069888
IV	255	256	4	4	0.076364
V	255	256	4	4	0.092868
NEW	255	256	4	4	0.018660

I	256	1	8	8	0.041319
II	256	1	8	8	0.049639
III	256	1	8	8	0.040925
IV	256	1	8	8	0.085816
V	256	1	8	8	0.086271
NEW	256	1	8	8	0.025318

I	1	256	8	8	0.000394
II	1	256	8	8	0.000269
III	1	256	8	8	0.000130
IV	1	256	8	8	0.000137
V	1	256	8	8	0.000274
NEW	1	256	8	8	0.000018

I	256	128	8	8	0.862004
II	256	128	8	8	0.352336
III	256	128	8	8	0.322489
IV	256	128	8	8	0.156114
V	256	128	8	8	0.178828
NEW	256	128	8	8	0.119385

I	128	256	8	8	0.091397
II	128	256	8	8	0.080913
III	128	256	8	8	0.056202
IV	128	256	8	8	0.059046
V	128	256	8	8	0.081886
NEW	128	256	8	8	0.007672

I	256	255	8	8	0.332588
II	256	255	8	8	0.233168
III	256	255	8	8	0.172377
IV	256	255	8	8	0.178430
V	256	255	8	8	0.237759
NEW	256	255	8	8	0.200120

I	255	256	8	8	0.224970
II	255	256	8	8	0.210684
III	255	256	8	8	0.143126
IV	255	256	8	8	0.155502
V	255	256	8	8	0.217485
NEW	255	256	8	8	0.024959

I	256	1	16	16	0.081255
II	256	1	16	16	0.112107
III	256	1	16	16	0.083312
IV	256	1	16	16	0.239904
V	256	1	16	16	0.256865
NEW	256	1	16	16	0.048958

I	1	256	16	16	0.000943
II	1	256	16	16	0.000877
III	1	256	16	16	0.000340
IV	1	256	16	16	0.000364
V	1	256	16	16	0.000878
NEW	1	256	16	16	0.000021

I	256	128	16	16	3.875144
II	256	128	16	16	1.256826
III	256	128	16	16	1.150678
IV	256	128	16	16	0.398087
V	256	128	16	16	0.480808
NEW	256	128	16	16	0.306816

I	128	256	16	16	0.219119
II	128	256	16	16	0.210702
III	128	256	16	16	0.121874
IV	128	256	16	16	0.127763
V	128	256	16	16	0.215185
NEW	128	256	16	16	0.010176

I	256	255	16	16	0.872626
II	256	255	16	16	0.637374
III	256	255	16	16	0.371253
IV	256	255	16	16	0.391822
V	256	255	16	16	0.600498
NEW	256	255	16	16	0.536674

I	255	256	16	16	0.489099
II	255	256	16	16	0.550755
III	255	256	16	16	0.303218
IV	255	256	16	16	0.329159
V	255	256	16	16	0.564939
NEW	255	256	16	16	0.039102

I	256	1	32	32	0.165424
II	256	1	32	32	0.264278
III	256	1	32	32	0.166399
IV	256	1	32	32	0.811357
V	256	1	32	32	0.883954
NEW	256	1	32	32	0.096781

I	1	256	32	32	0.002696
II	1	256	32	32	0.003110
III	1	256	32	32	0.000997
IV	1	256	32	32	0.001080
V	1	256	32	32	0.003086
NEW	1	256	32	32	0.000029

I	256	128	32	32	18.048805
II	256	128	32	32	5.069130
III	256	128	32	32	4.719242
IV	256	128	32	32	1.205503
V	256	128	32	32	1.508983
NEW	256	128	32	32	0.956595

I	128	256	32	32	0.592068
II	128	256	32	32	0.630008
III	128	256	32	32	0.286959
IV	128	256	32	32	0.317241
V	128	256	32	32	0.660768
NEW	128	256	32	32	0.017733

I	256	255	32	32	2.570832
II	256	255	32	32	1.746598
III	256	255	32	32	0.879875
IV	256	255	32	32	1.025032
V	256	255	32	32	1.944883
NEW	256	255	32	32	1.671115

I	255	256	32	32	1.233722
II	255	256	32	32	1.641591
III	255	256	32	32	0.691783
IV	255	256	32	32	0.803770
V	255	256	32	32	1.701049
NEW	255	256	32	32	0.067821

I	256	1	64	64	0.352478
II	256	1	64	64	0.721006
III	256	1	64	64	0.354142
IV	256	1	64	64	3.070480
V	256	1	64	64	3.289273
NEW	256	1	64	64	0.192624

I	1	256	64	64	0.008525
II	1	256	64	64	0.011713
III	1	256	64	64	0.003270
IV	1	256	64	64	0.003738
V	1	256	64	64	0.011848
NEW	1	256	64	64	0.000047

I	256	128	64	64	92.725217
II	256	128	64	64	21.782436
III	256	128	64	64	20.374078
IV	256	128	64	64	4.000746
V	256	128	64	64	5.236067
NEW	256	128	64	64	2.995990

I	128	256	64	64	1.590405
II	128	256	64	64	2.048466
III	128	256	64	64	0.752257
IV	128	256	64	64	0.864238
V	128	256	64	64	2.177865
NEW	128	256	64	64	0.029804

I	256	255	64	64	7.906816
II	256	255	64	64	5.514830
III	256	255	64	64	2.214115
IV	256	255	64	64	2.998491
V	256	255	64	64	6.179465
NEW	256	255	64	64	5.703459

I	255	256	64	64	3.426658
II	255	256	64	64	5.338554
III	255	256	64	64	1.683919
IV	255	256	64	64	2.191288
V	255	256	64	64	5.781436
NEW	255	256	64	64	0.128435

I	512	1	4	4	0.084600
II	512	1	4	4	0.095483
III	512	1	4	4	0.083911
IV	512	1	4	4	0.141453
V	512	1	4	4	0.146199
NEW	512	1	4	4	0.053202

I	1	512	4	4	0.000330
II	1	512	4	4	0.000173
III	1	512	4	4	0.000099
IV	1	512	4	4	0.000101
V	1	512	4	4	0.000174
NEW	1	512	4	4	0.000022

I	512	256	4	4	0.915148
II	512	256	4	4	0.550114
III	512	256	4	4	0.506497
IV	512	256	4	4	0.374408
V	512	256	4	4	0.413501
NEW	512	256	4	4	0.282318

I	256	512	4	4	0.213044
II	256	512	4	4	0.184587
III	256	512	4	4	0.161500
IV	256	512	4	4	0.160163
V	256	512	4	4	0.190361
NEW	256	512	4	4	0.039933

I	512	511	4	4	0.650624
II	512	511	4	4	0.504396
III	512	511	4	4	0.409072
IV	512	511	4	4	0.443095
V	512	511	4	4	0.476665
NEW	512	511	4	4	0.400348

I	511	512	4	4	0.450994
II	511	512	4	4	0.424394
III	511	512	4	4	0.326448
IV	511	512	4	4	0.354365
V	511	512	4	4	0.443423
NEW	511	512	4	4	0.090990

I	512	1	8	8	0.165580
II	512	1	8	8	0.200846
III	512	1	8	8	0.164924
IV	512	1	8	8	0.332002
V	512	1	8	8	0.349030
NEW	512	1	8	8	0.101290

I	1	512	8	8	0.000742
II	1	512	8	8	0.000519
III	1	512	8	8	0.000242
IV	1	512	8	8	0.000247
V	1	512	8	8	0.000519
NEW	1	512	8	8	0.000026

I	512	256	8	8	3.693784
II	512	256	8	8	1.681626
III	512	256	8	8	1.532841
IV	512	256	8	8	0.837191
V	512	256	8	8	0.960000
NEW	512	256	8	8	0.686252

I	256	512	8	8	0.484613
II	256	512	8	8	0.474128
III	256	512	8	8	0.335359
IV	256	512	8	8	0.342170
V	256	512	8	8	0.460516
NEW	256	512	8	8	0.048272

I	512	511	8	8	1.576796
II	512	511	8	8	1.216218
III	512	511	8	8	0.881406
IV	512	511	8	8	0.839612
V	512	511	8	8	1.167755
NEW	512	511	8	8	1.052225

I	511	512	8	8	1.009621
II	511	512	8	8	1.096845
III	511	512	8	8	0.698267
IV	511	512	8	8	0.740005
V	511	512	8	8	1.097945
NEW	511	512	8	8	0.118974

I	512	1	16	16	0.340079
II	512	1	16	16	0.459675
III	512	1	16	16	0.341164
IV	512	1	16	16	1.010381
V	512	1	16	16	1.084929
NEW	512	1	16	16	0.208766

I	1	512	16	16	0.001940
II	1	512	16	16	0.001784
III	1	512	16	16	0.000648
IV	1	512	16	16	0.000673
V	1	512	16	16	0.001796
NEW	1	512	16	16	0.000035

I	512	256	16	16	16.689754
II	512	256	16	16	5.739182
III	512	256	16	16	5.216778
IV	512	256	16	16	2.092184
V	512	256	16	16	2.560967
NEW	512	256	16	16	1.738808

I	256	512	16	16	1.073767
II	256	512	16	16	1.153339
III	256	512	16	16	0.689119
IV	256	512	16	16	0.715227
V	256	512	16	16	1.170339
NEW	256	512	16	16	0.072492

I	512	511	16	16	3.909587
II	512	511	16	16	3.114810
III	512	511	16	16	1.836460
IV	512	511	16	16	1.846333
V	512	511	16	16	3.112810
NEW	512	511	16	16	2.809652

I	511	512	16	16	2.159641
II	511	512	16	16	2.733283
III	511	512	16	16	1.437041
IV	511	512	16	16	1.512977
V	511	512	16	16	2.836209
NEW	511	512	16	16	0.198520

I	512	1	32	32	0.653156
II	512	1	32	32	1.098250
III	512	1	32	32	0.663539
IV	512	1	32	32	3.389834
V	512	1	32	32	3.582942
NEW	512	1	32	32	0.398691

I	1	512	32	32	0.005297
II	1	512	32	32	0.006123
III	1	512	32	32	0.001818
IV	1	512	32	32	0.001902
V	1	512	32	32	0.006008
NEW	1	512	32	32	0.000049

I	512	256	32	32	73.787260
II	512	256	32	32	21.778044
III	512	256	32	32	20.456164
IV	512	256	32	32	6.186482
V	512	256	32	32	7.978018
NEW	512	256	32	32	5.039462

I	256	512	32	32	2.661396
II	256	512	32	32	3.406865
III	256	512	32	32	1.572473
IV	256	512	32	32	1.710645
V	256	512	32	32	3.518771
NEW	256	512	32	32	0.133013

I	512	511	32	32	11.374407
II	512	511	32	32	9.307532
III	512	511	32	32	4.337255
IV	512	511	32	32	4.482801
V	512	511	32	32	9.243044
NEW	512	511	32	32	9.036792

I	511	512	32	32	5.473172
II	511	512	32	32	8.410625
III	511	512	32	32	3.222181
IV	511	512	32	32	3.743571
V	511	512	32	32	9.549377
NEW	511	512	32	32	0.334128

I	512	1	64	64	1.571514
II	512	1	64	64	2.998249
III	512	1	64	64	1.538015
IV	512	1	64	64	12.938255
V	512	1	64	64	13.863491
NEW	512	1	64	64	0.812264

I	1	512	64	64	0.017382
II	1	512	64	64	0.023316
III	1	512	64	64	0.006351
IV	1	512	64	64	0.006617
V	1	512	64	64	0.024061
NEW	1	512	64	64	0.000083

I	512	256	64	64	398.791970
II	512	256	64	64	109.509990
III	512	256	64	64	103.699812
IV	512	256	64	64	23.291868
V	512	256	64	64	31.272408
NEW	512	256	64	64	19.170975

I	256	512	64	64	9.406976
II	256	512	64	64	12.876334
III	256	512	64	64	4.632342
IV	256	512	64	64	5.037341
V	256	512	64	64	12.663362
NEW	256	512	64	64	0.248558

I	512	511	64	64	40.233764
II	512	511	64	64	33.531753
III	512	511	64	64	13.762546
IV	512	511	64	64	13.251280
V	512	511	64	64	31.812791
NEW	512	511	64	64	30.922638

I	511	512	64	64	15.033579
II	511	512	64	64	28.662522
III	511	512	64	64	8.112710
IV	511	512	64	64	10.377765
V	511	512	64	64	31.164566
NEW	511	512	64	64	0.645313

