Bench polynomial matrix multiplication (FFT prime)
p = 786433  (FFT prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
8,16380,0.15645304,0.76979027,0.20324113
8,32760,0.32441411,1.55496472,0.20863117
8,131070,1.42821877,6.92200575,0.20633019
16,30,0.00086052,0.10248286,0.00839676
16,60,0.00216279,0.11603760,0.01863868
16,120,0.00451199,0.13625854,0.03311341
16,250,0.00742992,0.04439313,0.16736649
16,510,0.01531501,0.08357735,0.18324356
16,1020,0.03309144,0.16397398,0.20180909
16,2040,0.07266525,0.32399086,0.22428179
16,4090,0.15700478,0.65254404,0.24060412
16,8190,0.32401254,1.36714463,0.23699946
16,16380,0.65337492,2.86914441,0.22772465
16,32760,1.35304631,6.08652768,0.22230184
16,131070,6.26251343,28.09536078,0.22290205
32,30,0.00305821,0.41199436,0.00742293
32,60,0.00617785,0.04253984,0.14522505
32,120,0.01273273,0.07790381,0.16344169
32,250,0.02614652,0.15451565,0.16921597
32,510,0.06680064,0.31008998,0.21542340
32,1020,0.12764627,0.62058533,0.20568689
32,2040,0.26759953,1.26121859,0.21217537
32,4090,0.55403112,2.68334905,0.20647002
32,8190,1.14003664,5.67269361,0.20096919
32,16380,2.46245412,11.59084742,0.21244815
32,32760,5.12976297,23.75222008,0.21596983
64,30,0.01661483,0.08806331,0.18866917
64,60,0.03131236,0.14255130,0.21965682
64,120,0.06451620,0.29076426,0.22188490
64,250,0.13472595,0.60880925,0.22129419
64,510,0.30946957,1.23153623,0.25128742
64,1020,0.63590797,2.66726707,0.23841181
64,2040,1.36898459,5.45711701,0.25086224
64,4090,2.96973211,11.33545910,0.26198605
64,8190,6.19824862,23.25896136,0.26648862
128,30,0.08946384,0.30698558,0.29142686
128,60,0.17974054,0.61857579,0.29057157
128,120,0.36802802,1.27250118,0.28921625
128,250,0.80987303,2.86943836,0.28224096
128,510,1.61484446,5.80751404,0.27806122
128,1020,3.71876044,12.17487162,0.30544556
128,2040,8.03406142,25.10363924,0.32003573
256,30,0.58164059,1.27446870,0.45637888
256,60,1.21094639,2.71321194,0.44631471
256,120,2.37413332,5.89871180,0.40248336
256,250,5.22212997,12.40789275,0.42087162
256,510,11.26585284,25.66434753,0.43896899
512,30,3.65747028,6.32433399,0.57831707
512,60,7.62239383,13.00136426,0.58627646
512,120,16.12868301,27.38668353,0.58892428
1024,30,23.83957713,32.01687468,0.74459414

Bench polynomial matrix multiplication (FFT prime)
p = 2748779069441  (FFT prime, bit length = 42)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001876,0.03044729,0.00061625
2,60,0.00004770,0.02299235,0.00207452
2,120,0.00012736,0.02130084,0.00597911
2,250,0.00014030,0.00638607,0.02196986
2,510,0.00028651,0.00727673,0.03937334
2,1020,0.00056284,0.01361474,0.04134085
2,2040,0.00128427,0.02407234,0.05335056
2,4090,0.00276625,0.04610756,0.05999552
